Id,Label,Category,Degree
Jackson,Jackson,Individual,2
Post Office,Post Office,Organisation,43
Microsoft Exchange,Microsoft Exchange,Technical System,2
Phase 4,Phase 4,Organisation,1
Gareth Jenkins,Gareth Jenkins,Individual,1
Mr Longman,Mr Longman,Individual,1
SMS,SMS,Organisation,2
Deloitte,Deloitte,Organisation,3
Ernst Young,Ernst Young,Individual,3
Horizon,Horizon,Technical System,21
KPMG,KPMG,Organisation,3
Alice Perkins,Alice Perkins,Individual,6
Alwen Lyons,Alwen Lyons,Individual,6
Angela Vandenbergard,Angela Vandenbergard,Individual,6
Mark Davis,Mark Davis,Individual,6
Paula Venells,Paula Venells,Individual,6
Susan Crichton,Susan Crichton,Individual,6
Tim Parker,Tim Parker,Individual,6
COVID,COVID,Organisation,1
Royal Mail Group,Royal Mail Group,Organisation,2
non-Post Office,non-Post Office,Organisation,2
Patrick Baulk's,Patrick Baulk's,Individual,1
Phase 5/6,Phase 5/6,Organisation,1
Katie Stewart,Katie Stewart,Individual,1
Sandra Dawson,Sandra Dawson,Individual,1
Emerita,Emerita,Individual,3
Sandra,Sandra,Individual,3
Sidney Sussex College,Sidney Sussex College,Organisation,3
University College Cambridge,University College Cambridge,Organisation,3
Stewart,Stewart,Individual,1
Sydney Sussex College,Sydney Sussex College,Organisation,1
Craigadon Post Office,Craigadon Post Office,Organisation,1
Justice Fraser,Justice Fraser,Individual,1
Post Office Limited,Post Office Limited,Organisation,4
the system,the system,Technical System,3
Crystal Reports,Crystal Reports,Organisation,2
error,error,Event/Issue,5
bug,bug,Event/Issue,4
shortfall,shortfall,Event/Issue,5
suspense account,suspense account,Event/Issue,5
Post Office Network,Post Office Network,Organisation,3
the Federation of Subpostmasters,the Federation of Subpostmasters,Organisation,3
Post Office Counters,Post Office Counters,Organisation,2
ICL Pathway,ICL Pathway,Organisation,2
Horizon Cash,Horizon Cash,Organisation,2
discrepancy,discrepancy,Event/Issue,1
FAD,FAD,Organisation,1
Susan Harding,Susan Harding,Individual,2
Alan Layton,Alan Layton,Individual,4
Betty Williams,Betty Williams,Individual,2
Dave Smith,Dave Smith,Individual,2
Horizon Integrity,Horizon Integrity,Organisation,2
Alan Bates,Alan Bates,Individual,2
Smith,Smith,Individual,1
Royal Mail Group PLC,Royal Mail Group PLC,Organisation,1
NBSC,NBSC,Organisation,1
the Post Office Limited's,the Post Office Limited's,Organisation,1
Richard Barker,Richard Barker,Individual,1
the Commercial Network,the Commercial Network,Organisation,1
Alan,Alan,Individual,2
Mike Wakely,Mike Wakely,Individual,2
Sandy Stephen,Sandy Stephen,Individual,2
Federation,Federation,Organisation,2
the Royal Mail Group,the Royal Mail Group,Organisation,1
mediation scheme,mediation scheme,Event/Issue,1
Computer Weekly,Computer Weekly,Organisation,1
Rebecca Thompson,Rebecca Thompson,Individual,1
BIS,BIS,Organisation,2
Business Innovation,Business Innovation,Organisation,2
Skills,Skills,Organisation,2
the National Federation of Subpostmasters,the National Federation of Subpostmasters,Organisation,1
BUR,BUR,Organisation,2
DTI,DTI,Organisation,2
the Select Committee,the Select Committee,Organisation,2
Davey,Davey,Individual,2
the Royal Mail,the Royal Mail,Organisation,2
Alliance,Alliance,Organisation,1
the Proceeds of Crime Act,the Proceeds of Crime Act,Organisation,1
audit,audit,Event/Issue,1
Crown,Crown,Organisation,2
Channel 4,Channel 4,Organisation,2
JFSA,JFSA,Organisation,1
Crown Office,Crown Office,Organisation,6
Ed Davey,Ed Davey,Individual,6
GLO,GLO,Organisation,6
Jo Swinson,Jo Swinson,Individual,6
Norman Lamb,Norman Lamb,Individual,6
Pat McFadden,Pat McFadden,Individual,6
